,Course Name,Prereqs
88,BISP 194,['B' 'I' 'C' 'D' ' ' '1' '0' '0']
89,BIPN 140,['B' 'I' 'L' 'D' ' ' '1' 'B' 'I' 'L' 'D' ' ' '2']
90,BISP 195,[]
91,BIPN 148,['B' 'I' 'P' 'N' ' ' '1' '0' '0']
92,BIPN 194,['B' 'I' 'P' 'N' ' ' '1' '0' '0' 'B' 'I' 'P' 'N' ' ' '1' '4' '0']
93,BIPN 120,['B' 'I' 'P' 'N' ' ' '1' '0' '0']
94,CAT 1,['A' 'W' 'P' ' ' '3' 'A' 'W' 'P' ' ' '4' 'B']
95,CCS 102,[]
96,CENG 101A,"['P' 'H' 'Y' 'S' ' ' '2' 'A' 'M' 'A' 'T' 'H' ' ' '2' '0' 'D' 'M' 'A' 'T'
 'H' ' ' '2' '1' 'D' 'M' 'A' 'T' 'H' ' ' '2' '0' 'E']"
97,CAT 125R,[]
98,CENG 120,"['M' 'A' 'T' 'H' ' ' '2' '0' 'D' 'C' 'E' 'N' 'G' ' ' '1' '0' '0' 'C' 'E'
 'N' 'G' ' ' '1' '5' 'M' 'A' 'E' ' ' '8' 'N' 'A' 'N' 'O' ' ' '1' '5' 'C'
 'E' 'N' 'G' ' ' '1' '0' '1' 'B' 'C' 'E' 'N' 'G' ' ' '1' '1' '3']"
99,CENG 122,"['C' 'E' 'N' 'G' ' ' '1' '0' '0' 'C' 'E' 'N' 'G' ' ' '1' '0' '2' 'C' 'E'
 'N' 'G' ' ' '1' '0' '1' 'C' 'C' 'E' 'N' 'G' ' ' '1' '0' '3' 'B']"
100,CENG 15,[]
101,CENG 100,['C' 'E' 'N' 'G' ' ' '4' 'C' 'H' 'E' 'M' ' ' '6' 'B']
102,CENG 4,[]
103,CGS 117,[]
104,CGS 118,[]
105,CGS 100A,"['A' 'N' 'S' 'C' ' ' '1' '1' '7' 'C' 'G' 'S' ' ' '2' 'A' 'C' 'G' 'S' ' '
 '2' 'B' 'C' 'G' 'S' ' ' '1' '0' '0' 'C' 'G' 'S' ' ' '1' '0' '0' 'B' 'C'
 'G' 'S' ' ' '1' '0' '1' 'C' 'G' 'S' ' ' '1' '0' '2' 'C' 'G' 'S' ' ' '1'
 '0' '3' 'C' 'G' 'S' ' ' '1' '0' '4' 'C' 'G' 'S' ' ' '1' '0' '5' 'C' 'G'
 'S' ' ' '1' '0' '6' 'C' 'G' 'S' ' ' '1' '0' '7' 'C' 'G' 'S' ' ' '1' '0'
 '8' 'C' 'G' 'S' ' ' '1' '0' '9' 'B' 'C' 'G' 'S' ' ' '1' '1' '1' 'C' 'G'
 'S' ' ' '1' '1' '2' 'C' 'G' 'S' ' ' '1' '1' '3' 'C' 'G' 'S' ' ' '1' '1'
 '4' 'C' 'G' 'S' ' ' '1' '1' '5' 'C' 'G' 'S' ' ' '1' '1' '6' 'C' 'G' 'S'
 ' ' '1' '1' '7' 'C' 'G' 'S' ' ' '1' '2' '0' 'C' 'G' 'S' ' ' '1' '2' '1'
 'C' 'G' 'S' ' ' '1' '2' '2' 'C' 'G' 'S' ' ' '1' '2' '3' 'C' 'G' 'S' ' '
 '1' '2' '4' 'C' 'G' 'S' ' ' '1' '3' '7' 'C' 'G' 'S' ' ' '1' '4' '7' 'C'
 'G' 'S' ' ' '1' '5' '0' 'C' 'G' 'S' ' ' '1' '6' '5' 'C' 'G' 'S' ' ' '1'
 '8' '0' 'C' 'G' 'S' ' ' '1' '8' '7' 'E' 'T' 'H' 'N' ' ' '1' '2' '7' 'E'
 'T' 'H' 'N' ' ' '1' '3' '7' 'E' 'T' 'H' 'N' ' ' '1' '4' '7' 'E' 'T' 'H'
 'N' ' ' '1' '5' '0' 'E' 'T' 'H' 'N' ' ' '1' '6' '5' 'E' 'T' 'H' 'N' ' '
 '1' '8' '3' 'E' 'T' 'H' 'N' ' ' '1' '8' '7' 'L' 'T' 'C' 'S' ' ' '1' '0'
 '8']"
106,CGS 108,[]
107,CHEM 100A,"['C' 'H' 'E' 'M' ' ' '6' 'C' 'C' 'H' 'E' 'M' ' ' '6' 'C' 'H' 'C' 'H' 'E'
 'M' ' ' '6' 'B' 'L' 'C' 'H' 'E' 'M' ' ' '7' 'L']"
108,CGS 119,[]
109,CGS 120,[]
110,CGS 2A,[]
111,CHEM 105A,"['C' 'H' 'E' 'M' ' ' '6' 'C' 'L' 'C' 'H' 'E' 'M' ' ' '1' '0' '0' 'A' 'P'
 'H' 'Y' 'S' ' ' '2' 'B' 'L' 'P' 'H' 'Y' 'S' ' ' '2' 'C' 'L' 'P' 'H' 'Y'
 'S' ' ' '2' 'D' 'L' 'C' 'H' 'E' 'M' ' ' '1' '2' '6' 'C' 'H' 'E' 'M' ' '
 '1' '2' '6' 'A' 'C' 'H' 'E' 'M' ' ' '1' '2' '6' 'B' 'C' 'H' 'E' 'M' ' '
 '1' '2' '7' 'C' 'H' 'E' 'M' ' ' '1' '3' '0' 'C' 'H' 'E' 'M' ' ' '1' '3'
 '1' 'C' 'H' 'E' 'M' ' ' '1' '3' '3']"
112,CHEM 108,"['C' 'H' 'E' 'M' ' ' '4' '3' 'A' 'C' 'H' 'E' 'M' ' ' '4' '3' 'A' 'M' 'C'
 'H' 'E' 'M' ' ' '1' '4' '3' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '3' 'A' 'M'
 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'A']"
113,CHEM 116,"['C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'H' 'C'
 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'H'
 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'A']"
114,CHEM 120A,"['C' 'H' 'E' 'M' ' ' '6' 'C' 'C' 'H' 'E' 'M' ' ' '6' 'C' 'H' 'C' 'H' 'E'
 'M' ' ' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'A']"
115,CHEM 114A,['C' 'H' 'E' 'M' ' ' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'A']
116,CHEM 114B,"['C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'H' 'C'
 'H' 'E' 'M' ' ' '1' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'B' 'H'
 'C' 'H' 'E' 'M' ' ' '1' '1' '4' 'A']"
117,CHEM 11,[]
118,CHEM 126A,"['C' 'H' 'E' 'M' ' ' '6' 'C' 'C' 'H' 'E' 'M' ' ' '6' 'C' 'H' 'P' 'H' 'Y'
 'S' ' ' '1' 'C' 'P' 'H' 'Y' 'S' ' ' '2' 'C' 'P' 'H' 'Y' 'S' ' ' '2' 'D'
 'M' 'A' 'T' 'H' ' ' '1' '0' 'C' 'M' 'A' 'T' 'H' ' ' '2' '0' 'C']"
119,CHEM 130,"['C' 'H' 'E' 'M' ' ' '6' 'C' 'C' 'H' 'E' 'M' ' ' '6' 'C' 'H' 'P' 'H' 'Y'
 'S' ' ' '2' 'C' 'P' 'H' 'Y' 'S' ' ' '2' 'D' 'M' 'A' 'T' 'H' ' ' '2' '0'
 'D']"
120,CHEM 142,"['C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'H' 'C'
 'H' 'E' 'M' ' ' '1' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'B' 'H'
 'B' 'I' 'B' 'C' ' ' '1' '0' '0' 'B' 'I' 'L' 'D' ' ' '1' 'C' 'H' 'E' 'M'
 ' ' '1' '1' '4' 'A']"
121,CHEM 143C,"['C' 'H' 'E' 'M' ' ' '4' '3' 'A' 'C' 'H' 'E' 'M' ' ' '4' '3' 'A' 'M' 'C'
 'H' 'E' 'M' ' ' '1' '4' '3' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '3' 'A' 'H'
 'C' 'H' 'E' 'M' ' ' '1' '4' '3' 'A' 'M' 'C' 'H' 'E' 'M' ' ' '4' '0' 'B'
 'C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'H' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'B'
 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'B' 'H']"
122,CHEM 152,"['C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'H' 'C'
 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'H']"
123,CHEM 4,[]
124,CHEM 154,"['C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '4' '0' 'C' 'H' 'C'
 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'C' 'H']"
125,CHEM 40A,['C' 'H' 'E' 'M' ' ' '6' 'B' 'C' 'H' 'E' 'M' ' ' '6' 'B' 'H']
126,CHEM 171,['C' 'H' 'E' 'M' ' ' '6' 'C' 'C' 'H' 'E' 'M' ' ' '6' 'C' 'H']
127,CHEM 40B,['C' 'H' 'E' 'M' ' ' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'A']
128,CHEM 6C,['C' 'H' 'E' 'M' ' ' '6' 'B' 'C' 'H' 'E' 'M' ' ' '6' 'B' 'H']
129,CHEM 43AM,"['C' 'H' 'E' 'M' ' ' '7' 'L' 'C' 'H' 'E' 'M' ' ' '7' 'L' 'M' 'C' 'H' 'E'
 'M' ' ' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '4' '0' 'A' 'H' 'C' 'H' 'E' 'M'
 ' ' '1' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'A' 'H']"
130,CHEM 6AH,[]
131,CHEM 43A,"['C' 'H' 'E' 'M' ' ' '7' 'L' 'C' 'H' 'E' 'M' ' ' '7' 'L' 'M' 'C' 'H' 'E'
 'M' ' ' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '4' '0' 'A' 'H' 'C' 'H' 'E' 'M'
 ' ' '1' '4' '0' 'A' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'A' 'H']"
132,CHEM 40C,['C' 'H' 'E' 'M' ' ' '4' '0' 'B' 'C' 'H' 'E' 'M' ' ' '1' '4' '0' 'B']
133,CHEM 6A,[]
134,CHEM 6B,"['C' 'H' 'E' 'M' ' ' '6' 'A' 'C' 'H' 'E' 'M' ' ' '6' 'A' 'H' 'M' 'A' 'T'
 'H' ' ' '1' '0' 'A' 'M' 'A' 'T' 'H' ' ' '2' '0' 'A']"
135,CHEM 7L,['C' 'H' 'E' 'M' ' ' '6' 'B' 'C' 'H' 'E' 'M' ' ' '6' 'B' 'H']
136,CHEM 96,[]
137,CHEM 87,[]
138,CHIN 10AD,[]
139,CHIN 100AN,['C' 'H' 'I' 'N' ' ' '2' '0' 'C' 'N' 'C' 'H' 'I' 'N' ' ' '2' '3']
140,CHIN 10AM,[]
141,CHIN 100AM,"['C' 'H' 'I' 'N' ' ' '2' '0' 'C' 'D' 'C' 'H' 'I' 'N' ' ' '2' '0' 'C' 'M'
 'C' 'H' 'I' 'N' ' ' '2' '3']"
142,CHIN 10AN,[]
143,CHIN 185A,"['C' 'H' 'I' 'N' ' ' '1' '0' '0' 'C' 'M' 'C' 'H' 'I' 'N' ' ' '1' '0' '0'
 'C' 'N' 'C' 'H' 'I' 'N' ' ' '1' '1' '3']"
144,CHIN 20AD,['C' 'H' 'I' 'N' ' ' '1' '0' 'C' 'D']
145,CHIN 20AN,['C' 'H' 'I' 'N' ' ' '1' '0' 'C' 'N']
146,COGS 1,[]
147,COGS 10,[]
148,CHIN 20AM,['C' 'H' 'I' 'N' ' ' '1' '0' 'C' 'M']
149,COGS 100,['C' 'O' 'G' 'S' ' ' '1' 'C' 'O' 'G' 'S' ' ' '1' '0']
150,COGS 101A,['C' 'O' 'G' 'S' ' ' '1']
151,COGS 101B,['C' 'O' 'G' 'S' ' ' '1']
152,COGS 102A,['C' 'O' 'G' 'S' ' ' '1' 'C' 'O' 'G' 'S' ' ' '1' '0']
153,COGS 108,"['C' 'O' 'G' 'S' ' ' '1' '8' 'C' 'S' 'E' ' ' '8' 'A' 'C' 'S' 'E' ' ' '1'
 '1' 'D' 'S' 'C' ' ' '1' '0' 'M' 'A' 'E' ' ' '8']"
154,COGS 107A,['B' 'I' 'L' 'D' ' ' '1' '2' 'C' 'O' 'G' 'S' ' ' '1' '7']
155,COGS 107B,['C' 'O' 'G' 'S' ' ' '1' '0' '7' 'A']
156,COGS 11,[]
157,COGS 110,['C' 'O' 'G' 'S' ' ' '1' 'H' 'D' 'P' ' ' '1' 'H' 'D' 'S' ' ' '1']
158,COGS 109,"['C' 'O' 'G' 'S' ' ' '1' '4' 'B' 'M' 'A' 'T' 'H' ' ' '1' '8' 'M' 'A' 'T'
 'H' ' ' '3' '1' 'A' 'H' 'C' 'O' 'G' 'S' ' ' '1' '8' 'C' 'S' 'E' ' ' '7'
 'C' 'S' 'E' ' ' '8' 'A' 'C' 'S' 'E' ' ' '1' '1']"
159,COGS 118C,"['M' 'A' 'T' 'H' ' ' '1' '8' 'M' 'A' 'T' 'H' ' ' '3' '1' 'A' 'H' 'C' 'O'
 'G' 'S' ' ' '1' '4' 'B' 'P' 'S' 'Y' 'C' ' ' '6' '0' 'C' 'O' 'G' 'S' ' '
 '1' '0' '8' 'C' 'O' 'G' 'S' ' ' '1' '0' '9']"
160,COGS 118B,"['C' 'S' 'E' ' ' '8' 'B' 'C' 'S' 'E' ' ' '1' '1' 'M' 'A' 'T' 'H' ' ' '1'
 '8' 'M' 'A' 'T' 'H' ' ' '3' '1' 'A' 'H' 'M' 'A' 'T' 'H' ' ' '2' '0' 'E'
 'M' 'A' 'T' 'H' ' ' '1' '8' '0' 'A']"
161,COGS 13,[]
162,COGS 127,"['C' 'O' 'G' 'S' ' ' '1' '8' 'C' 'S' 'E' ' ' '8' 'B' 'C' 'S' 'E' ' ' '1'
 '1' 'D' 'S' 'C' ' ' '3' '0' 'C' 'O' 'G' 'S' ' ' '1' 'C' 'O' 'G' 'S' ' '
 '1' '8' '7' 'A' 'D' 'S' 'G' 'N' ' ' '1']"
163,COGS 118A,"['C' 'O' 'G' 'S' ' ' '1' '8' 'C' 'S' 'E' ' ' '8' 'B' 'C' 'S' 'E' ' ' '1'
 '1' 'M' 'A' 'T' 'H' ' ' '1' '8' 'M' 'A' 'T' 'H' ' ' '3' '1' 'A' 'H' 'M'
 'A' 'T' 'H' ' ' '2' '0' 'E' 'M' 'A' 'T' 'H' ' ' '1' '8' '0' 'A' 'C' 'O'
 'G' 'S' ' ' '1' '0' '8' 'C' 'O' 'G' 'S' ' ' '1' '0' '9' 'C' 'O' 'G' 'S'
 ' ' '1' '1' '8' 'B' 'C' 'S' 'E' ' ' '1' '5' '0' 'C' 'S' 'E' ' ' '1' '5'
 '1' 'C' 'S' 'E' ' ' '1' '5' '8' 'E' 'C' 'E' ' ' '1' '7' '4' 'E' 'C' 'E'
 ' ' '1' '7' '5' 'A']"
164,COGS 122,"['C' 'O' 'G' 'S' ' ' '1' '2' '0' 'C' 'O' 'G' 'S' ' ' '1' '8' '7' 'A' 'C'
 'O' 'G' 'S' ' ' '1' '8' '7' 'B' 'C' 'S' 'E' ' ' '1' '7' '0' 'D' 'S' 'G'
 'N' ' ' '1' '0' '0']"
165,COGS 124,['C' 'O' 'G' 'S' ' ' '1' '2' '0' 'C' 'O' 'G' 'S' ' ' '1' '2' '1']
166,COGS 126,"['C' 'O' 'G' 'S' ' ' '1' '2' '0' 'C' 'O' 'G' 'S' ' ' '1' '2' '1' 'C' 'S'
 'E' ' ' '1' '7' '0']"
167,COGS 143,[]
168,COGS 14A,[]
169,COGS 14B,['C' 'O' 'G' 'S' ' ' '1' '4' 'A']
170,COGS 17,[]
171,COGS 15,[]
172,COGS 156,[]
173,COGS 160,[]
174,COGS 170,['B' 'I' 'L' 'D' ' ' '1' '2' 'C' 'O' 'G' 'S' ' ' '1' '7']
175,COGS 174,[]
176,COGS 18,[]
177,COGS 185,['C' 'O' 'G' 'S' ' ' '1' '1' '8' 'A']
178,COGS 3,[]
179,COGS 187A,"['C' 'O' 'G' 'S' ' ' '1' '8' 'C' 'S' 'E' ' ' '8' 'A' 'C' 'S' 'E' ' ' '1'
 '1' 'C' 'O' 'G' 'S' ' ' '1' '0' 'D' 'S' 'G' 'N' ' ' '1']"
180,COGS 87,[]
181,COGS 188,"['C' 'O' 'G' 'S' ' ' '1' '0' '9' 'C' 'O' 'G' 'S' ' ' '1' '1' '8' 'A' 'C'
 'O' 'G' 'S' ' ' '1' '1' '8' 'B']"
182,COGS 2,[]
183,COGS 9,[]
184,COGS 8,[]
185,COMM 101,['C' 'O' 'M' 'M' ' ' '1' '0']
186,COMM 10,[]
187,COMM 100A,['C' 'O' 'M' 'M' ' ' '1' '0']
188,COMM 102C,[]
189,COMM 101D,['C' 'O' 'M' 'M' ' ' '1' '0' 'C' 'O' 'M' 'M' ' ' '1' '0' '1']
