,Course Name,Prereqs
1031,SOCI 132,[]
1032,SOCI 157,[]
1033,SOCI 40,[]
1034,SOCI 121,[]
1035,VIS 152D,[]
1037,TDGE 124,[]
1038,ANBI 173,[]
1039,ANSC 129,[]
1040,TDMV 5,[]
1041,ANSC 156,[]
1042,VIS 127B,[]
1043,ANTH 1,[]
1044,ANTH 3,[]
1046,BILD 12,[]
1048,ANTH 43,[]
1050,CAT 124,[]
1052,CGS 112,[]
1053,CHEM 12,[]
1055,COGS 153,[]
1058,COGS 177,[]
1062,EDS 112,[]
1067,ETHN 102,[]
1068,ETHN 101,[]
1069,ETHN 127,[]
1070,ETHN 116,[]
1071,ETHN 182,[]
1072,GLBH 129,[]
1073,ETHN 142,[]
1074,HISC 105,[]
1075,HIEU 102A,[]
1076,HIEA 132,[]
1077,HIEU 128,[]
1078,HILD 7B,[]
1081,LTCS 165,[]
1082,HITO 126,[]
1083,LTEA 120C,[]
1085,LTEN 148,[]
1086,LTEN 159,[]
1087,LTEN 185,[]
1088,PHIL 145,[]
1089,PHIL 16,[]
1090,PHIL 165,[]
1091,PHIL 32,[]
1092,MUS 116,[]
1093,MMW 121,[]
1094,PHIL 136,[]
1095,PHIL 162,[]
1098,POLI 102C,[]
1099,POLI 100A,[]
1100,POLI 100O,[]
1101,POLI 103A,[]
1102,POLI 110B,[]
1103,POLI 12,[]
1104,POLI 115A,[]
1105,POLI 13,[]
1106,PSYC 122,[]
1107,PSYC 4,[]
1108,POLI 142P,[]
1109,POLI 130AA,[]
1110,PSYC 137,[]
1111,PSYC 144,[]
1112,PSYC 169,[]
1113,POLI 145C,[]
1115,SOCI 139,[]
1117,SIO 139,[]
1118,SIO 10,[]
1119,SOCI 171,[]
1120,SOCI 184,[]
1121,SOCI 160E,[]
1122,USP 109,[]
1123,USP 170,[]
1124,TDGE 127,[]
1125,USP 173,[]
1126,USP 2,[]
1127,USP 3,[]
1128,VIS 103,[]
1130,VIS 122AN,[]
1131,VIS 125C,[]
1132,VIS 128D,[]
1133,VIS 130,[]
1134,ANSC 139,[]
1135,ANSC 140,[]
1136,ANBI 100,[]
1137,ANBI 132,[]
1138,VIS 21B,[]
1139,ANAR 164,[]
1140,ANAR 166,[]
1141,ANBI 159,[]
1142,ANTH 103,[]
1143,ANSC 165,[]
1144,ANSC 184,[]
1145,ANSC 194,[]
1147,ANTH 110,[]
1148,ANSC 147,[]
1163,BENG 91,[]
1166,BICD 123,[]
1169,BILD 22,[]
1172,BILD 42,[]
1175,BILD 7,[]
1177,BIPN 144,[]
1180,CAT 125,[]
1185,CENG 175,[]
1188,CGS 111,[]
1189,CGS 113,[]
1193,CGS 2B,[]
1196,CGS 87,[]
1224,COGS 112,[]
1227,COGS 163,[]
1228,COGS 12,[]
1229,COGS 155,[]
1231,COGS 164,[]
1250,CSE 145,[]
1252,CSE 125,[]
1258,CSE 198,[]
1260,CSE 3,[]
1284,ECE 189,[]
1288,ECON 100CH,[]
1292,EDS 113,[]
1296,ECON 5,[]
1297,EDS 118,[]
1299,EDS 136,[]
1301,ENVR 140,[]
1302,EDS 87,[]
1303,ENVR 110,[]
1304,ESYS 10,[]
1307,ETHN 106,[]
1308,ESYS 190B,[]
1310,ETHN 143,[]
1313,ETHN 128,[]
1315,ETHN 3,[]
1316,ETHN 179,[]
1318,ETHN 189,[]
1319,GLBH 139,[]
1322,GLBH 141,[]
1323,GLBH 147,[]
1324,HIAF 112,[]
1326,HDS 98,[]
1328,HIAF 161,[]
1331,HIEA 131,[]
1333,HIEA 129,[]
1334,HIEA 122,[]
1335,HIEA 144,[]
1336,HIEA 171,[]
1337,HIEU 104,[]
1338,HIEU 108,[]
1339,HILA 122,[]
1340,HILA 132,[]
1341,HILA 144,[]
1342,HILD 12,[]
1343,HILD 7C,[]
1344,HIEU 156,[]
1345,HIEU 140,[]
1346,HIEU 161,[]
1347,HINE 100,[]
1348,HINE 118,[]
1349,HINE 127,[]
1350,HIUS 133,[]
1351,HIUS 130,[]
1352,HITO 155,[]
1355,HIUS 152B,[]
1356,HMNR 101,[]
1357,HUM 2,[]
1367,LIGN 165,[]
1371,LIHL 112P,[]
1372,LIHL 114P,[]
1373,LIHL 115P,[]
1374,LIHL 117P,[]
1375,LIHL 124P,[]
1376,LIHL 132P,[]
1377,LIHL 134P,[]
1378,LIHL 137P,[]
1379,LTEN 149,[]
1380,LTCS 133,[]
1381,LTEA 132,[]
1382,LTEA 144,[]
1383,LTEN 142,[]
1384,LTCS 111,[]
1385,LTEN 150,[]
1386,LTEN 152,[]
1387,LTEU 150C,[]
1391,LTEN 23,[]
1392,LTEN 29,[]
1397,LTIT 50,[]
1398,LTKO 100,[]
1405,LTWL 192,[]
1410,LTWR 148,[]
1417,MAE 124,[]
1423,MAE 184,[]
1442,MATH 87,[]
1443,MATH 95,[]
1448,MGT 158,[]
1449,MGT 128R,[]
1450,MGT 175,[]
1452,MGT 117,[]
1453,MUS 11,[]
1454,MUS 12,[]
1457,MUS 127,[]
1459,MUS 130,[]
1461,MUS 152,[]
1467,MUS 175,[]
1469,MUS 95C,[]
1470,MUS 95K,[]
1477,MUS 95L,[]
1479,PHIL 130,[]
1483,NANO 175,[]
1484,PHIL 102,[]
1486,PHIL 177,[]
1487,PHIL 33,[]
1488,PHIL 139,[]
1489,PHIL 148,[]
1490,PHIL 161,[]
1491,PHIL 170,[]
1492,PHIL 181,[]
1496,PHYS 177,[]
1502,POLI 100M,[]
1503,PHYS 8,[]
1505,POLI 104D,[]
1506,POLI 104P,[]
1507,POLI 110C,[]
1508,POLI 110T,[]
1509,POLI 120D,[]
1510,POLI 113C,[]
1511,POLI 111D,[]
1512,POLI 120H,[]
1513,POLI 122,[]
1514,POLI 125,[]
1515,POLI 142I,[]
1516,POLI 140D,[]
1517,POLI 144F,[]
1518,POLI 142D,[]
1519,POLI 150A,[]
1521,POLI 5D,[]
1525,PSYC 117,[]
1526,PSYC 108,[]
1528,PSYC 129,[]
1529,PSYC 176,[]
1530,PSYC 185,[]
1531,PSYC 7,[]
1534,RELI 3,[]
1556,SIO 166,[]
1557,SIO 16R,[]
1559,SOCI 10,[]
1560,SIO 181,[]
1561,SOCI 104Q,[]
1564,SIO 190,[]
1565,SOCI 136F,[]
1567,SOCI 153,[]
1568,SOCI 112,[]
1569,SOCI 146,[]
1570,SOCI 144,[]
1571,SOCI 158,[]
1572,SOCI 164,[]
1573,SOCI 168E,[]
1574,SOCI 183,[]
1575,SOCI 50,[]
